No,text,created,Kelas,kelasF
1,"Dapatkan GRATIS 3pcs One-Handed Cheeseburger setiap pembelian Western Beefbac Cheeseburger, Hawaiian Teriyaki, dan… https://t.co/OFwTsq14c6",4/1/2021 10:00:00,netral,0
2,RT @CocaCola_ID: Bikin momen makan #BersamaBerasaLebih spesial di COCA-COLA Feastival! Semakin banyak pesan makanan lewat COCA-COLA Feastiv…,4/1/2021 9:57:36,positif,1
3,"Tanggal 1 April ini kita punya banyak kesegaran buat kamu! Teh Poci, Es Jelly &amp; Es Jelly Susu, tinggal pilih mana y… https://t.co/iCbOUukpHN",4/1/2021 9:57:04,positif,1
4,"I rasa selagi i ganti puasa and selagi grabfood punya promo tak habis, selagi tu i tak masak ð",4/1/2021 9:56:58,positif,1
5,adik Grabfood / Foodpanda. comel nau. https://t.co/0dZ9w1HOqG,4/1/2021 9:55:40,negatif,-1
6,"Gabut bermanfaat, gua kalo gabut buka grabfood, lari ke makanan.. https://t.co/c3nKMUKAo5",4/1/2021 9:47:48,positif,1
7,"@strawberyblood @anjasmara_ferry Grabfood ...

Sekalian kirim ke sini satu yg spesial",4/1/2021 9:47:32,netral,0
8,"RT @Popsters_Ofcl: Make your cravings more sulit. I-grab na yan using our Promo Code ""TRYGRABFOOD"" for Free Delivery + P20 off! 

Note : Va…",4/1/2021 9:41:22,netral,0
9,"Yeay! Promo GRATIS Mie Saus Gochujang diperpanjang!!

Yang kemarin belum sempat nyobain karena kantong kering, seka… https://t.co/0vgDdCmUMS",4/1/2021 9:41:09,netral,0
10,"RT @katexblythe: Prank Idea: 
Step 1: Order grabfood or foodpanda
Step 2: Pay for your order
Step 3: When they get to your house, tell them…",4/1/2021 9:40:07,positif,1
11,Dosa bgt abis work out grabfood cheeseburger :),4/1/2021 9:38:48,positif,1
12,"RT @PapaAis_: Lunch time? 
Nasi Krawu Gresik, Otak-Otak Bandeng Sambal Terasi, Panada? Tahu Petis? 
Grabfood https://t.co/6GtXHB6UAG
Kulina…",4/1/2021 9:38:26,positif,1
13,"@Faoji0 Jangan khawatir kak, #bisalah pake promo Grabfood untuk antisipasi sampe akhir bulan, bakal tetap kaya tiap hari  ð¥°ð¤  ",4/1/2021 9:35:16,positif,1
14,Diskon grabfood penyelamat di kala hujan,4/1/2021 9:34:36,positif,1
15,"1 jam scroll grabfood, bolak balik pilih makanan dan masih belum pesen. Siapa? Gue.",4/1/2021 9:34:05,positif,1
16,"RT @Popsters_Ofcl: Make your cravings more sulit. I-grab na yan using our Promo Code ""TRYGRABFOOD"" for Free Delivery + P20 off! 

Note : Va…",4/1/2021 9:32:01,netral,0
17,"""Udah tau, dari kecil kamu mainnya ke Braga terus. Bawa apa ya? Nggak ah aku mau makan richeese aja hari ini, nanti… https://t.co/8bR6qCSPGM",4/1/2021 9:31:48,netral,0
18,"RT @justvhic01: Naol may Grab. Use the code below for free delivery + P20 off. 

Note : Valid for new GrabFood users only. 

UseCode TRYGRA…",4/1/2021 9:31:39,netral,0
19,@greenteasbx yauda grabfood in ke aku aja,4/1/2021 9:31:30,positif,1
20,"yang pertama kang grabfood salah alamat dah seneng kirain dpt kejutan haha pd bgt, yang kedua mas"" potografer ngasi… https://t.co/YNcLFla5NG",4/1/2021 9:30:18,netral,0
21,Scrolling on grabfood for tonight https://t.co/nqjbyT5t9q,4/1/2021 9:28:11,positif,1
22,Lagi dekat nak buka puasa lagi ligat aku dok scroll grabfood la foodpanda la ð,4/1/2021 9:27:34,positif,1
23,"@gojekindonesia @indaac_ ga ada ka, gmn ni psn nya ? pake grabfood kah ?",4/1/2021 9:27:13,positif,1
24,cinta bgt sama promo grabfood&lt;3 https://t.co/h5LIrokCb5,4/1/2021 9:25:54,positif,1
25,Sisca kohl kalau pesen grabfood udah tau diskon cuma 1 rupiah tapi tetep dipake gak ya https://t.co/eMNmKdQtxJ,4/1/2021 9:23:58,positif,1
26,scroll scroll menu grabfood berujung kenyang duluan,4/1/2021 9:23:14,positif,1
27,"RT @JetVeetlev: Yesus: “Nes, cek grabfood ada diskon 50% gak? Mayan kalau ada buat makan makan tar malem. Pake akun si Pete juga tuh kalau…",4/1/2021 9:22:50,positif,1
28,"Halo, aku ada kepengenan bagi-bagi sedikit buat bukaan temen-temen pas bulan puasa. Niatnya setiap minggu bakal ada… https://t.co/1y1LFBFUCS",4/1/2021 9:19:36,positif,1
29,"RT @grabph: Let’s give thanks to all our Grab riders na tuloy lang sa paghatid ng ating essential needs! Saludo po kami sa inyo, kuyas and…",4/1/2021 9:19:03,positif,1
30,Mau pesen grabfood tp bingung pda jauh,4/1/2021 9:16:59,negatif,-1
31,sambil nonton kingdom ntar enaknya grabfood seblak sambil minum bubble tea milo..,4/1/2021 9:13:21,positif,1
32,@NCTDreamINA bukannya batagor ya? keanya ada di grabfood tadi,4/1/2021 9:11:55,positif,1
33,Bismillah promo di grabfood beli terang hulan keju coklat susu gratis vocer dari astra motor seharga 500 rb loh tuh… https://t.co/y1Q5MmONd2,4/1/2021 9:11:07,positif,1
34,@the_ethlex Nak yg grabfood je ð,4/1/2021 9:08:47,netral,0
35,"RT @PapaAis_: Lunch time? 
Nasi Krawu Gresik, Otak-Otak Bandeng Sambal Terasi, Panada? Tahu Petis? 
Grabfood https://t.co/6GtXHB6UAG
Kulina…",4/1/2021 9:04:37,positif,1
36,Ada juga japgi aku order foodpanda or grabfood beli any drinks hm :'),4/1/2021 9:03:15,positif,1
37,"SIAP-SIAP!! ð£
2-4 April 2021 nanti bakal ada promo heboh di GrabFood &amp; GrabMart pakai Debit BCA Mastercard loh, Goo… https://t.co/busva8P",4/1/2021 9:01:41,positif,1
38,"Slot sore-malam sudah available ya. Stock ga banyak, yuk pesan sekarang ❤️❤️❤️ 

Gofood ✅
Grabfood ✅
Whatsapp ✅",4/1/2021 9:00:42,positif,1
39,Bikin momen makan #BersamaBerasaLebih spesial di COCA-COLA Feastival! Semakin banyak pesan makanan lewat COCA-COLA… https://t.co/7h7PPUTr1C,4/1/2021 9:00:02,positif,1
40,mending grabfood sih biar banyak promo https://t.co/v7scD99vqE,4/1/2021 8:59:14,positif,1
41,"RT @JetVeetlev: Yesus: “Nes, cek grabfood ada diskon 50% gak? Mayan kalau ada buat makan makan tar malem. Pake akun si Pete juga tuh kalau…",4/1/2021 8:56:11,positif,1
42,"Yesus: “Nes, cek grabfood ada diskon 50% gak? Mayan kalau ada buat makan makan tar malem. Pake akun si Pete juga tuh kalau ada.”",4/1/2021 8:53:33,positif,1
43,"@omarfaayiz Selalu order guna GrabFood sebab ada masa nak telek satu persatu nak letak apa ð Kalau dekat kaunter, j… https://t.co/21ggTei",4/1/2021 8:52:53,positif,1
44,"Lugaw Queen nag Sorry na! 
Watch the video here
https://t.co/6sSluqh8ib

#lugaw #lugawisessential #grabfood… https://t.co/U6c9PnNu21",4/1/2021 8:49:19,positif,1
45,"@souzc Hai kak, kita jual cemilan Korea yg udah avail di GoFood dan GrabFood nih! Ada Tteokbokki, Odeng, Tteokkochi… https://t.co/f69hwriQ2X",4/1/2021 8:45:48,positif,1
46,"@RacunBelanja berlaku pembelian grabfood ga sih? mau nanya di ig jco nya komennya dibatasi :""",4/5/2021 23:59:06,positif,1
47,@RacunBelanja @agungsatria45 Ada di grabfood kok,4/5/2021 23:56:57,positif,1
48,@ablolaelvin Order ka nalang sa GrabFood with SulEat Savers para you can enjoy up to 20% off your fave dishes ð Jus… https://t.co/W4VE00w,4/5/2021 23:56:05,positif,1
49,"@journaljeeb Same Here! ð

My fiancée: Yang, bila nak kahwin ni?
Me: Sabarlah, tengah kumpul duit ni..

Also Me: (G… https://t.co/CzAu6xT",4/5/2021 23:55:27,netral,0
50,RT @tilehopper: Ini final boss driver GoFood / GrabFood https://t.co/rzYcMoU4MQ,4/5/2021 23:54:25,netral,0
