"","text","created","Kelas"
"1","RT @lukmanjuwono: Pak ustad

Ya

Mau bertanya pak ustad

Silakan akhi

Kalo kurir atau abang gofood minta sherlock
saya harus ngasih Robert…","4/1/2021 10:01:32","netral"
"2","@nctzenbase BISA GOFOOD GAK NIH","4/1/2021 10:00:53","positif"
"3","RT @lukmanjuwono: Pak ustad

Ya

Mau bertanya pak ustad

Silakan akhi

Kalo kurir atau abang gofood minta sherlock
saya harus ngasih Robert…","4/1/2021 10:00:34","netral"
"4","Dapatkan GRATIS 3pcs One-Handed Cheeseburger setiap pembelian Western Beefbac Cheeseburger, Hawaiian Teriyaki, dan… https://t.co/OFwTsq14c6","4/1/2021 10:00:00","positif"
"5","@sxnligthz Gofood in donk manieztð","4/1/2021 9:59:59","positif"
"6","RT @txtdaridreamzen: yuk cepet gofood nih https://t.co/CrtMncsukd","4/1/2021 9:59:44","positif"
"7","Hahahaha lucu ya..gua yg berjuang ngedekatin.sampai sampai jadi gojek,gofood buat elu.dia yg modal senyum dan good… https://t.co/SUGdvYQUwh","4/1/2021 9:57:28","positif"
"8","RT @txtdaridreamzen: yuk cepet gofood nih https://t.co/CrtMncsukd","4/1/2021 9:57:18","positif"
"9","Tanggal 1 April ini kita punya banyak kesegaran buat kamu! Teh Poci, Es Jelly &amp; Es Jelly Susu, tinggal pilih mana y… https://t.co/iCbOUukpHN","4/1/2021 9:57:04","positif"
"10","RT @txtdaridreamzen: yuk cepet gofood nih https://t.co/CrtMncsukd","4/1/2021 9:56:40","positif"
"11","@palgentonk gofood soes durenn dahh","4/1/2021 9:55:43","positif"
"12","@afteryoungk ehhh salah arah hehehehe nama tempatnya kalau di gofood itu termasuk kelapa dua tapi sebenernya di dae… https://t.co/fAOURD9ApF","4/1/2021 9:54:29","positif"
"13","RT @shinebrightyoun: mau giveaway ah... hari ini aku dapet kabar baik jadi mau jajanin apa aja your choice asal ada di gofood. kalo gak mau…","4/1/2021 9:54:07","positif"
"14","RT @txtdaridreamzen: yuk cepet gofood nih https://t.co/CrtMncsukd","4/1/2021 9:53:32","positif"
"15","RT @lukmanjuwono: Pak ustad

Ya

Mau bertanya pak ustad

Silakan akhi

Kalo kurir atau abang gofood minta sherlock
saya harus ngasih Robert…","4/1/2021 9:53:17","netral"
"16","pgen gofood cake gtuh ataw aph ya enag.a","4/1/2021 9:52:27","positif"
"17","@vmourrpacivica aku ditinggal dirumah gofood zið","4/1/2021 9:52:23","positif"
"18","abang2 gofood sampe apal kl nganterin  makanan sambil ketawa ð","4/1/2021 9:51:13","positif"
"19","RT @txtdaridreamzen: yuk cepet gofood nih https://t.co/CrtMncsukd","4/1/2021 9:49:58","positif"
"20","@54mye4ng Disini lagi hujan. Kalau dianterin gofood gak apa apa ya?","4/1/2021 9:49:22","netral"
"21","RT @txtdaridreamzen: yuk cepet gofood nih https://t.co/CrtMncsukd","4/1/2021 9:48:18","positif"
"22","RT @lukmanjuwono: Pak ustad

Ya

Mau bertanya pak ustad

Silakan akhi

Kalo kurir atau abang gofood minta sherlock
saya harus ngasih Robert…","4/1/2021 9:47:49","netral"
"23","RT @txtdaridreamzen: malem2 gini enaknya gofood kopi di 7dream cafe ga sih","4/1/2021 9:47:30","positif"
"24","@sasjen2021 ayo gofood in gua sað","4/1/2021 9:46:37","positif"
"25","RT @txtdaridreamzen: yuk cepet gofood nih https://t.co/CrtMncsukd","4/1/2021 9:46:08","positif"
"26","gofood cpt lah datang aku laper","4/1/2021 9:44:56","negatif"
"27","RT @elwa: SEI TERBAIQ VERSI AQ~ Ada lagi yang lain nggak? Banyak sih nih rekomendasinya di gofood. Cuma kupercaya lidah netizen~ https://t.…","4/1/2021 9:44:02","positif"
"28","RT @lukmanjuwono: Pak ustad

Ya

Mau bertanya pak ustad

Silakan akhi

Kalo kurir atau abang gofood minta sherlock
saya harus ngasih Robert…","4/1/2021 9:43:42","netral"
"29","@aphrolic gofood banyakkk","4/1/2021 9:40:49","positif"
"30","voucher gofood disc 30% maksimal potongan 30k minbel 41k, ga pake fee sudah habis ya ððð yang tersisa voucher resto… https://t.co/e","4/1/2021 9:39:33","positif"
"31","Gofood apa nih ujan² buat buka puasað","4/1/2021 9:39:20","positif"
"32","pengen gofood tapi gofood apa yh","4/1/2021 9:38:53","positif"
"33","RT @txtdaridreamzen: yuk cepet gofood nih https://t.co/CrtMncsukd","4/1/2021 9:38:45","positif"
"34","@misanthropysth ASIKKKKKK ð¥² ditunggu ramennya bisa di gofood ","4/1/2021 9:38:42","positif"
"35","RT @PapaAis_: Lunch time? 
Nasi Krawu Gresik, Otak-Otak Bandeng Sambal Terasi, Panada? Tahu Petis? 
Grabfood https://t.co/6GtXHB6UAG
Kulina…","4/1/2021 9:38:26","positif"
